promotion,title,start_date,end_date,rating,party_1,party_2,party_3,party_4
World Wrestling Entertainment,Shawn Michaels vs. Mr. Kennedy,11/2007 , 01/2008,6.32,Shawn Michaels,Marty Jannetty,Mr. Kennedy,World Wrestling Entertainment
World Wrestling Entertainment,Neue Helden braucht das Land: Luger vs. Yokozuna,07/1993 , 03/1994,6.31,Lex Luger,Yokozuna,Mr. Fuji,James E. Cornette
World Wrestling Entertainment,Double J gegen Double R: Jarrett vs. Razor,01/1995 , 06/1995,6.31,Razor Ramon,The 1-2-3 Kid,Savio Vega,Jeff Jarrett
Extreme Championship Wrestling,Extreme Farewell: Cactus Jack vs. Mikey Whipwreck,12/1995 , 03/1996,6.3,Comments,Cactus Jack,Mikey Whipwreck,Shane Douglas
World Wrestling Entertainment,Der Fall und Wiederaufstieg Bret Harts,04/1993 , 03/1994,6.3,Bret Hart,Yokozuna,Mr. Fuji,World Wrestling Federation
World Wrestling Entertainment,Kick it: Michaels vs. Orton 07,06/2007 , 11/2007,6.29,Shawn Michaels,Randy Orton,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Glamour Girl gegen Glamazon: Melina vs. Beth,05/2008 , 04/2009,6.29,Melina,Beth Phoenix,Santino Marella,Rosa Mendes
World Wrestling Entertainment,"Hello, my Name is Eugene...",04/2004 , 10/2004,6.28,Eugene,William Regal,Chris Benoit,Eric Bischoff
Impact Wrestling,Big Poppa auf der Pirsch: Lashley vs. Steiner,10/2009 , 12/2009,6.25,Bobby Lashley,Kristal,Scott Steiner,Total Nonstop Action Wrestling
Impact Wrestling,Generationenkrieg in der X-Division,09/2006 , 03/2007,6.22,Chris Sabin,Jerry Lynn,Christopher Daniels,Total Nonstop Action Wrestling
World Wrestling Entertainment,Das Animal auf Abwegen: Batista vs. Mysterio vs. Undertaker,10/2009 , 01/2010,6.22,Comments,Batista,Rey Mysterio,The Undertaker
Wrestling Society X,Der Kampf um den WSX Title,02/2006 , 11/2006,6.21,6-Pac,Ricky Banderas,Wrestling Society X,Notes
World Wrestling Entertainment,Das erste NXT Titelmatch bei WrestleMania: Rhea Ripley vs. Charlotte Flair,01/2020 , 04/2020,6.2,Rhea Ripley,Bianca Belair,World Wrestling Entertainment,Summary
World Wrestling Entertainment,"Batista vs. Edge, die Zweite",05/2008 , 07/2008,6.16,Comments,Batista,Edge,Vickie Guerrero
Impact Wrestling,Das feindselige Idol: Lethal vs. Flair,05/2010 , 09/2010,6.13,Comments,Jay Lethal,Ric Flair,AJ Styles
Impact Wrestling,Ethno Wars: Team 3D vs. LAX,12/2006 , 05/2007,6.12,Brother Ray,Brother Devon,Brother Runt,Johnny Rodz
World Wrestling Entertainment,Im Käfig mit dem wandelnden Wohnhaus: Hulk Hogan vs. King Kong Bundy,10/1985 , 04/1986,6.12,Hulk Hogan,King Kong Bundy,Bobby Heenan,World Wrestling Federation
World Wrestling Entertainment,Die letzten Träume des Königs: Lawler vs. Miz,11/2010 , 02/2011,6.12,Comments,Jerry Lawler,The Miz,Alex Riley
World Wrestling Entertainment,Der Captain kann es noch: Headshrinkers vs. Quebecers,03/1994 , 06/1994,6.11,Fatu,Samu,Afa,Jacques
World Wrestling Entertainment,Edge vs. Eddie Guerrero,07/2002 , 09/2002,6.1,Edge,Eddie Guerrero,Chavo Guerrero,World Wrestling Entertainment
World Wrestling Entertainment,CM Punks zertretener Traum,09/2008 , 11/2008,6.08,CM Punk,Kofi Kingston,Randy Orton,Cody Rhodes
World Wrestling Entertainment,Der Aufstieg der Glamazon: Candice vs. Phoenix,08/2007 , 10/2007,6.07,Comments,Candice Michelle,Beth Phoenix,World Wrestling Entertainment
World Wrestling Entertainment,Fehlende Schutzengel: John Cena vs. Ryback,04/2013 , 06/2013,6.07,Comments,John Cena,Ryback,World Wrestling Entertainment
World Championship Wrestling,Mysterio verliert seine Maske,01/1999 , 03/1999,6.0,Rey Mysterio Jr.,Konnan,Kevin Nash,Lex Luger
Mid-Atlantic Championship Wrestling,A Flair For The Gold: Ric Flair vs. Harley Race,06/1983 , 11/1983,6.0,Comments,Ric Flair,Harley Race,Bob Orton Jr.
World Wrestling Entertainment,"Al Snow, der Muster-Europäer",08/2000 , 10/2000,6.0,William Regal,World Wrestling Federation,Summary,(?)
Impact Wrestling,Jerry Lynn gegen Konnans Luchadores,02/2003 , 03/2003,6.0,Jerry Lynn,Konnan,Juventud Guerrera,Super Crazy
World Wrestling Entertainment,Der Goldene erhebt sich aus dem Staub: Goldust vs. Sheamus,07/2009 , 09/2009,6.0,Sheamus,World Wrestling Entertainment,Summary,(?)
World Wrestling Entertainment,Die Anatomie des Schmerzes: Finlay vs. Knox,07/2009 , 09/2009,6.0,Mike Knox,World Wrestling Entertainment,Summary,(?)
Impact Wrestling,Vom Fast-Rücktritt zu neuer Glorie: Styles vs. Angle Revisited,09/2009 , 01/2010,6.0,AJ Styles,Ric Flair,Earl Hebner,Kurt Angle
World Wrestling Entertainment,Die Hart-Sippe gegen Miz & Company,03/2010 , 05/2010,6.0,Comments,Bret Hart,David Hart Smith,Tyson Kidd
